adsorption_energy,adsorbed_molecule,adsorbed_molecule_encoded
-17.121929,CH4,2
-16.007951,CH4,2
-19.172308,CH4,2
-19.516813,CH4,2
-23.52604,CH4,2
-16.405894,CH4,2
-15.350594,CH4,2
-17.04405,CH4,2
-22.417555,CH4,2
-21.199972,CH4,2
-18.766442,CH4,2
-17.411865,CH4,2
-16.119012,CH4,2
-18.170436,CH4,2
-18.0868,CH4,2
-19.29108,CH4,2
-22.737013,CH4,2
-20.107754,CH4,2
-23.285656,CH4,2
-19.090662,CH4,2
-20.219683,CH4,2
-16.839222,CH4,2
-21.042026,CH4,2
-19.992587,CH4,2
-18.914476,CH4,2
-22.085224,CH4,2
-15.270906,CH4,2
-17.142012,CH4,2
-18.242604,CH4,2
-12.693821,CH4,2
-23.038678,CH4,2
-19.603275,CH4,2
-14.601226,CH4,2
-18.863722,CH4,2
-19.970814,CH4,2
-17.783314,CH4,2
-17.037098,CH4,2
-16.991716,CH4,2
-18.578893,CH4,2
-16.902002,CH4,2
-18.267369,CH4,2
-19.195012,CH4,2
-19.004325,CH4,2
-22.777202,CH4,2
-11.858526,CH4,2
-25.692518,CH4,2
-16.112109,CH4,2
-15.839791,CH4,2
-16.288357,CH4,2
-22.007082,CH4,2
-16.276608,CH4,2
-21.514777,CH4,2
-16.796553,CH4,2
-17.530822,CH4,2
-19.973494,CH4,2
-19.58453,CH4,2
-14.341428,CH4,2
-14.644889,CH4,2
-15.558577,CH4,2
-15.122734,CH4,2
-14.726518,CH4,2
-21.237087,CH4,2
-16.350607,CH4,2
-16.420901,CH4,2
-20.930225,CH4,2
-19.593618,CH4,2
-17.926414,CH4,2
-18.106114,CH4,2
-18.281107,CH4,2
-16.280724,CH4,2
-17.399524,CH4,2
-15.985859,CH4,2
-14.478197,CH4,2
-17.181247,CH4,2
-19.904651,CH4,2
-20.321432,CH4,2
-13.871638,CH4,2
-17.011358,CH4,2
-20.769138,CH4,2
-18.993061,CH4,2
-18.005186,CH4,2
-16.549385,CH4,2
-13.002975,CH4,2
-20.394849,CH4,2
-14.940204,CH4,2
-21.339835,CH4,2
-15.139618,CH4,2
-20.492531,CH4,2
-18.747496,CH4,2
-17.470659,CH4,2
-16.384841,CH4,2
-15.024253,CH4,2
-18.104453,CH4,2
-18.992602,CH4,2
-16.819281,CH4,2
-18.848207,CH4,2
-18.035994,CH4,2
-20.747007,CH4,2
-19.084992,CH4,2
-17.712075,CH4,2
-20.180748,CH4,2
-18.648543,CH4,2
-18.198556,CH4,2
-17.90488,CH4,2
-22.728395,CH4,2
-17.396771,CH4,2
-17.536538,CH4,2
-19.980744,CH4,2
-20.486921,CH4,2
-18.706272,CH4,2
-19.851323,CH4,2
-21.868399,CH4,2
-17.287694,CH4,2
-16.231591,CH4,2
-16.939551,CH4,2
-17.932168,CH4,2
-20.260425,CH4,2
-22.871881,CH4,2
-17.538936,CH4,2
-16.276095,CH4,2
-17.433935,CH4,2
-17.388625,CH4,2
-27.944518,CH4,2
-17.543144,CH4,2
-17.392959,CH4,2
-18.044401,CH4,2
-20.539108,CH4,2
-14.364336,CH4,2
-19.43131,CH4,2
-16.269243,CH4,2
-17.179105,CH4,2
-17.200459,CH4,2
-15.708597,CH4,2
-15.510444,CH4,2
-16.598985,CH4,2
-20.066974,CH4,2
-18.096149,CH4,2
-17.038971,CH4,2
-15.897759,CH4,2
-17.43584,CH4,2
-17.404485,CH4,2
-15.253875,CH4,2
-22.600575,CH4,2
-20.259765,CH4,2
-19.789629,CH4,2
-14.616098,CH4,2
-15.709396,CH4,2
-21.295464,CH4,2
-18.375504,CH4,2
-20.572222,CH4,2
-15.265445,CH4,2
-18.656293,CH4,2
-17.83228,CH4,2
-15.795467,CH4,2
-21.943367,CH4,2
-17.415332,CH4,2
-20.635345,CH4,2
-17.5349,CH4,2
-20.921471,CH4,2
-17.23262,CH4,2
-17.309569,CH4,2
-15.957575,CH4,2
-19.503511,CH4,2
-19.484812,CH4,2
-19.254301,CH4,2
-18.2768,CH4,2
-17.943314,CH4,2
-19.493301,CH4,2
-20.89888,CH4,2
-18.9602,CH4,2
-18.245155,CH4,2
-18.324989,CH4,2
-17.170749,CH4,2
-19.322638,CH4,2
